text,respon
Apasih?!! Dudu kwi maksudku! Iso po ra kwe jane?,"Sepurane aku ra iso, tapi tak ewangi sak isoku."
MBOH AH! Sak karepmu!,"Maap atuh, ojo nesu. Pye wis njlentrehno maksudmu?"
Waaah makasih banget ya!,"Podo podo, Koyo karo sopo wae."
Eh aku seneng banget karo kwe. Mergo Kwe ki apikan.,"Awww romantis banget, awokawokawok"
Mau aku kecele mergo wong kae mau jahat banget.,Endi wonge? Kyo ngopo toh kethek sing nglarani kwe?
Aku rasane pengen nangis.,"Cup cup cup, wis curhat ning aku rapopo."
Aku gabut banget ek  preinan ora ngopo ngopo ngene.,"Yowis, kwe arep dolanan opo? Nonton anime wae?"
"Aku bosen, Arep ngopo yo?",Lha mbuh kok malah tekok ning aku. Opo nggibah wae?
"Aku wedi, mau ketemu setan ning alas.",Coh setan?!! Tenane? Ojo ngapusi lho.
"Ogah ah, aku wedi soale.",LHa pye meneh arepan. Njaluk dikancani cah siji ki.
Aku wis kesel ngenteni kowe sing ora tau teka pas wayahe!,"Yo maap atuh, kesempurnaan hanya Milik Allah."
Aja sembrana nek guneman marang wong tuwa!,"Okey, ancen wong tuwo kudu diajeni."
Sapa sing njaluk aku nandangi iki mau?!,"Aku, hehehe. Maap ya? Yowis aku kudu pye?"
Kowe iku dikandani malah ngelawan terus!,Lha kwe wis cetho cetho salah no kok malah ngegas.
Aku wes emosi banget ndeleng ketikanmu sing ora cetha!,Ketikanmu barang yo ora cetho. Aku udu menungsa lho.
Ra usah mbok tandangi wae. Ra cetho kyo ngono!,"Yo maap, nak ngei perintah ki sing jelas gek tak tandhangi."
Wis dijelasake peng akeh kok tetep wae ora mudeng!,"Maap ya?, wis jelaske meneh wae."
Kwe ki mudeng ra toh tak andani!,Ora. Makane jelaske ning aku sing detil alon alon.
Ooo lha ndlogok cah iki jebulane.,"Hehehe, sepurane. Serius iki, pye pye?"
Aku ra seneng nak digawekke kaya ngene iki!,Yowis njalukmu kyo ngopo?
Alhamdulillah akhire wis dadi tugas e. Matur suwun!,"Alhamdulillah, aku yo melu seneng."
Matur suwun banget mergo wis Gelem ngewangi aku!,"Podo podo, santai. Kyo karo sopo wae."
Makasih banget wis ngewangi aku yo?,"Yoi, no problemo. Nak pengen njaluk tulung meneh tekok aku rapopo."
