input_text,target_text
marah apasih?!! dudu kwi maksudku! iso po ra kwe jane?,"sepurane aku ra iso, tapi tak ewangi sak isoku."
marah mboh ah! sak karepmu!,"maap atuh, ojo nesu. pye wis njlentrehno maksudmu?"
senang waaah makasih banget ya!,"podo podo, koyo karo sopo wae."
senang eh aku seneng banget karo kwe. mergo kwe ki apikan.,"awww romantis banget, awokawokawok"
sedih mau aku kecele mergo wong kae mau jahat banget.,endi wonge? kyo ngopo toh kethek sing nglarani kwe?
sedih aku rasane pengen nangis.,"cup cup cup, wis curhat ning aku rapopo."
bosan aku gabut banget ek preinan ora ngopo ngopo ngene.,"yowis, kwe arep dolanan opo? nonton anime wae?"
"bosan aku bosen, arep ngopo yo?",lha mbuh kok malah tekok ning aku. opo nggibah wae?
"takut aku wedi, mau ketemu setan ning alas.",coh setan?!! tenane? ojo ngapusi lho.
"takut ogah ah, aku wedi soale.",lha pye meneh arepan. njaluk dikancani cah siji ki.
marah aku wis kesel ngenteni kowe sing ora tau teka pas wayahe!,"yo maap atuh, kesempurnaan hanya milik allah."
marah aja sembrana nek guneman marang wong tuwa!,"okey, ancen wong tuwo kudu diajeni."
marah sapa sing njaluk aku nandangi iki mau?!,"aku, hehehe. maap ya? yowis aku kudu pye?"
marah kowe iku dikandani malah ngelawan terus!,lha kwe wis cetho cetho salah no kok malah ngegas.
marah aku wes emosi banget ndeleng ketikanmu sing ora cetha!,ketikanmu barang yo ora cetho. aku udu menungsa lho.
marah ra usah mbok tandangi wae. ra cetho kyo ngono!,"yo maap, nak ngei perintah ki sing jelas gek tak tandhangi."
marah wis dijelasake peng akeh kok tetep wae ora mudeng!,"maap ya?, wis jelaske meneh wae."
marah kwe ki mudeng ra toh tak andani!,ora. makane jelaske ning aku sing detil alon alon.
marah ooo lha ndlogok cah iki jebulane.,"hehehe, sepurane. serius iki, pye pye?"
marah aku ra seneng nak digawekke kaya ngene iki!,yowis njalukmu kyo ngopo?
senang alhamdulillah akhire wis dadi tugas e. matur suwun!,"alhamdulillah, aku yo melu seneng."
senang matur suwun banget mergo wis gelem ngewangi aku!,"podo podo, santai. kyo karo sopo wae."
senang makasih banget wis ngewangi aku yo?,"yoi, no problemo. nak pengen njaluk tulung meneh tekok aku rapopo."
senang atiku bungah banget ndeleng adhiku iso ngguyu maneh.,"alhamdulillah, aku melu seneng meskiyo aku kode."
senang wah dhuwit tabunganku wis cukup gawe tuku pit anyar!,"yeeeey, arep tuku pit sing kyo ngopo?"
senang dina iki rasane seneng banget lan kabeh mlaku lancar.,alhamdulillah bejo no? aku podho yo melu seneng.
senang aku seneng banget amergo entuk hadiah surprise saka kanca-kanca.,anjaaay. wis kyo artis kih. hahaha.
senang yen kowe seneng aku ya melu ngrasakake seneng.,berarti awakdewe jodho no? podho podho senenge.
senang alhamdulillah perjuangane awakdewe akhire ana hasile.,alhamdulillah yeeey. wis perayaan yo? opo leren sek?
senang sesok minggu awakdewe bakal plesiran menyang pantai!,subhanallah. sing tak impek impekke kedaden.
